account_id,industry,country,referral_source,cohort_month,starting_plan,starting_seats,starting_mrr,current_status,first_churn_date,churn_reason,months_active
A-779e4e,HealthTech,US,organic,2023-01-01,Basic,9,171,Active,,,23
A-af0cd2,Cybersecurity,IN,other,2023-01-01,Pro,19,931,Churned,2023-10-26,unknown,9
A-10b8f2,HealthTech,DE,organic,2023-02-01,Basic,47,0,Churned,2024-06-04,support,16
A-39b19f,FinTech,US,partner,2023-02-01,Pro,16,784,Churned,2023-03-11,unknown,1
A-484819,HealthTech,US,organic,2023-02-01,Enterprise,18,3582,Churned,2023-06-29,support,4
A-7df7a7,DevTools,US,organic,2023-02-01,Pro,7,343,Churned,2024-07-10,budget,17
A-977ca0,HealthTech,IN,partner,2023-02-01,Enterprise,6,1194,Active,,,22
A-b11cd0,DevTools,US,ads,2023-02-01,Basic,26,494,Active,,,22
A-d792a6,DevTools,US,organic,2023-02-01,Pro,37,1813,Churned,2023-09-11,competitor,7
A-f17767,DevTools,US,event,2023-02-01,Pro,14,686,Churned,2023-05-03,pricing,3
A-1e50e0,Cybersecurity,DE,other,2023-03-01,Enterprise,19,3781,Churned,2023-11-01,budget,8
A-271f46,DevTools,US,event,2023-03-01,Basic,38,722,Churned,2023-03-04,support,0
A-52dd88,Cybersecurity,US,ads,2023-03-01,Pro,26,1274,Active,,,21
A-7f4db3,FinTech,US,other,2023-03-01,Enterprise,8,1592,Churned,2023-03-21,support,0
A-7f8241,EdTech,US,organic,2023-03-01,Basic,34,646,Active,,,21
A-a7bd4b,Cybersecurity,US,ads,2023-03-01,Pro,8,392,Churned,2024-10-15,features,19
A-ad3abd,FinTech,US,event,2023-03-01,Enterprise,44,8756,Churned,2023-07-12,competitor,4
A-b9f5b1,Cybersecurity,US,other,2023-03-01,Enterprise,42,0,Churned,2023-07-21,features,4
A-e1b9cd,DevTools,US,event,2023-03-01,Pro,40,1960,Churned,2024-10-01,unknown,19
A-ed510f,Cybersecurity,IN,partner,2023-03-01,Pro,42,2058,Churned,2023-05-05,budget,2
