cohort_month,period_number,active_accounts,cohort_size,retention_pct,cohort_label
2023-01-01,0,2.0,2,100.0,2023-01
2023-01-01,1,2.0,2,100.0,2023-01
2023-01-01,2,2.0,2,100.0,2023-01
2023-01-01,3,2.0,2,100.0,2023-01
2023-01-01,4,2.0,2,100.0,2023-01
2023-01-01,5,2.0,2,100.0,2023-01
2023-01-01,6,2.0,2,100.0,2023-01
2023-01-01,7,2.0,2,100.0,2023-01
2023-01-01,8,2.0,2,100.0,2023-01
2023-01-01,9,1.0,2,50.0,2023-01
2023-01-01,10,1.0,2,50.0,2023-01
2023-01-01,11,1.0,2,50.0,2023-01
2023-01-01,12,1.0,2,50.0,2023-01
2023-01-01,13,1.0,2,50.0,2023-01
2023-01-01,14,1.0,2,50.0,2023-01
2023-01-01,15,1.0,2,50.0,2023-01
2023-01-01,16,1.0,2,50.0,2023-01
2023-01-01,17,1.0,2,50.0,2023-01
2023-01-01,18,1.0,2,50.0,2023-01
2023-01-01,19,1.0,2,50.0,2023-01
2023-01-01,20,1.0,2,50.0,2023-01
2023-01-01,21,1.0,2,50.0,2023-01
2023-01-01,22,1.0,2,50.0,2023-01
2023-01-01,23,1.0,2,50.0,2023-01
2023-02-01,0,8.0,8,100.0,2023-02
2023-02-01,1,7.0,8,87.5,2023-02
2023-02-01,2,7.0,8,87.5,2023-02
2023-02-01,3,6.0,8,75.0,2023-02
2023-02-01,4,5.0,8,62.5,2023-02
2023-02-01,5,5.0,8,62.5,2023-02
2023-02-01,6,5.0,8,62.5,2023-02
2023-02-01,7,4.0,8,50.0,2023-02
2023-02-01,8,4.0,8,50.0,2023-02
2023-02-01,9,4.0,8,50.0,2023-02
2023-02-01,10,4.0,8,50.0,2023-02
2023-02-01,11,4.0,8,50.0,2023-02
2023-02-01,12,4.0,8,50.0,2023-02
2023-02-01,13,4.0,8,50.0,2023-02
2023-02-01,14,4.0,8,50.0,2023-02
2023-02-01,15,4.0,8,50.0,2023-02
2023-02-01,16,3.0,8,37.5,2023-02
2023-02-01,17,2.0,8,25.0,2023-02
2023-02-01,18,2.0,8,25.0,2023-02
2023-02-01,19,2.0,8,25.0,2023-02
2023-02-01,20,2.0,8,25.0,2023-02
2023-02-01,21,2.0,8,25.0,2023-02
2023-02-01,22,2.0,8,25.0,2023-02
2023-03-01,0,9.0,11,81.8,2023-03
2023-03-01,1,8.0,11,72.7,2023-03
2023-03-01,2,7.0,11,63.6,2023-03
2023-03-01,3,7.0,11,63.6,2023-03
2023-03-01,4,5.0,11,45.5,2023-03
2023-03-01,5,5.0,11,45.5,2023-03
2023-03-01,6,5.0,11,45.5,2023-03
2023-03-01,7,5.0,11,45.5,2023-03
2023-03-01,8,4.0,11,36.4,2023-03
2023-03-01,9,4.0,11,36.4,2023-03
2023-03-01,10,4.0,11,36.4,2023-03
2023-03-01,11,4.0,11,36.4,2023-03
2023-03-01,12,4.0,11,36.4,2023-03
2023-03-01,13,4.0,11,36.4,2023-03
2023-03-01,14,4.0,11,36.4,2023-03
2023-03-01,15,4.0,11,36.4,2023-03
2023-03-01,16,4.0,11,36.4,2023-03
2023-03-01,17,4.0,11,36.4,2023-03
2023-03-01,18,4.0,11,36.4,2023-03
2023-03-01,19,2.0,11,18.2,2023-03
2023-03-01,20,2.0,11,18.2,2023-03
2023-03-01,21,2.0,11,18.2,2023-03
2023-04-01,0,13.0,15,86.7,2023-04
2023-04-01,1,13.0,15,86.7,2023-04
2023-04-01,2,13.0,15,86.7,2023-04
2023-04-01,3,13.0,15,86.7,2023-04
2023-04-01,4,13.0,15,86.7,2023-04
2023-04-01,5,13.0,15,86.7,2023-04
2023-04-01,6,12.0,15,80.0,2023-04
2023-04-01,7,11.0,15,73.3,2023-04
2023-04-01,8,8.0,15,53.3,2023-04
2023-04-01,9,7.0,15,46.7,2023-04
2023-04-01,10,7.0,15,46.7,2023-04
2023-04-01,11,7.0,15,46.7,2023-04
2023-04-01,12,7.0,15,46.7,2023-04
2023-04-01,13,7.0,15,46.7,2023-04
2023-04-01,14,7.0,15,46.7,2023-04
2023-04-01,15,6.0,15,40.0,2023-04
2023-04-01,16,6.0,15,40.0,2023-04
2023-04-01,17,6.0,15,40.0,2023-04
2023-04-01,18,6.0,15,40.0,2023-04
2023-04-01,19,6.0,15,40.0,2023-04
2023-04-01,20,6.0,15,40.0,2023-04
2023-05-01,0,12.0,14,85.7,2023-05
2023-05-01,1,9.0,14,64.3,2023-05
2023-05-01,2,9.0,14,64.3,2023-05
2023-05-01,3,9.0,14,64.3,2023-05
2023-05-01,4,9.0,14,64.3,2023-05
2023-05-01,5,9.0,14,64.3,2023-05
2023-05-01,6,7.0,14,50.0,2023-05
2023-05-01,7,7.0,14,50.0,2023-05
2023-05-01,8,6.0,14,42.9,2023-05
2023-05-01,9,6.0,14,42.9,2023-05
2023-05-01,10,6.0,14,42.9,2023-05
2023-05-01,11,6.0,14,42.9,2023-05
2023-05-01,12,6.0,14,42.9,2023-05
2023-05-01,13,6.0,14,42.9,2023-05
2023-05-01,14,5.0,14,35.7,2023-05
2023-05-01,15,5.0,14,35.7,2023-05
2023-05-01,16,5.0,14,35.7,2023-05
2023-05-01,17,5.0,14,35.7,2023-05
2023-05-01,18,5.0,14,35.7,2023-05
2023-05-01,19,5.0,14,35.7,2023-05
2023-06-01,0,20.0,21,95.2,2023-06
2023-06-01,1,20.0,21,95.2,2023-06
2023-06-01,2,17.0,21,81.0,2023-06
2023-06-01,3,16.0,21,76.2,2023-06
2023-06-01,4,15.0,21,71.4,2023-06
2023-06-01,5,13.0,21,61.9,2023-06
2023-06-01,6,13.0,21,61.9,2023-06
2023-06-01,7,12.0,21,57.1,2023-06
2023-06-01,8,12.0,21,57.1,2023-06
2023-06-01,9,12.0,21,57.1,2023-06
2023-06-01,10,11.0,21,52.4,2023-06
2023-06-01,11,11.0,21,52.4,2023-06
2023-06-01,12,10.0,21,47.6,2023-06
2023-06-01,13,10.0,21,47.6,2023-06
2023-06-01,14,8.0,21,38.1,2023-06
2023-06-01,15,8.0,21,38.1,2023-06
2023-06-01,16,7.0,21,33.3,2023-06
2023-06-01,17,6.0,21,28.6,2023-06
2023-06-01,18,6.0,21,28.6,2023-06
2023-07-01,0,18.0,18,100.0,2023-07
2023-07-01,1,15.0,18,83.3,2023-07
2023-07-01,2,15.0,18,83.3,2023-07
2023-07-01,3,13.0,18,72.2,2023-07
2023-07-01,4,13.0,18,72.2,2023-07
2023-07-01,5,13.0,18,72.2,2023-07
2023-07-01,6,13.0,18,72.2,2023-07
2023-07-01,7,11.0,18,61.1,2023-07
2023-07-01,8,10.0,18,55.6,2023-07
2023-07-01,9,10.0,18,55.6,2023-07
2023-07-01,10,10.0,18,55.6,2023-07
2023-07-01,11,9.0,18,50.0,2023-07
2023-07-01,12,9.0,18,50.0,2023-07
2023-07-01,13,8.0,18,44.4,2023-07
2023-07-01,14,7.0,18,38.9,2023-07
2023-07-01,15,7.0,18,38.9,2023-07
2023-07-01,16,7.0,18,38.9,2023-07
2023-07-01,17,5.0,18,27.8,2023-07
2023-08-01,0,24.0,27,88.9,2023-08
2023-08-01,1,23.0,27,85.2,2023-08
2023-08-01,2,22.0,27,81.5,2023-08
2023-08-01,3,22.0,27,81.5,2023-08
2023-08-01,4,22.0,27,81.5,2023-08
2023-08-01,5,21.0,27,77.8,2023-08
2023-08-01,6,21.0,27,77.8,2023-08
2023-08-01,7,20.0,27,74.1,2023-08
2023-08-01,8,20.0,27,74.1,2023-08
2023-08-01,9,18.0,27,66.7,2023-08
2023-08-01,10,18.0,27,66.7,2023-08
2023-08-01,11,16.0,27,59.3,2023-08
2023-08-01,12,15.0,27,55.6,2023-08
2023-08-01,13,13.0,27,48.1,2023-08
2023-08-01,14,11.0,27,40.7,2023-08
2023-08-01,15,11.0,27,40.7,2023-08
2023-08-01,16,11.0,27,40.7,2023-08
2023-09-01,0,15.0,15,100.0,2023-09
2023-09-01,1,15.0,15,100.0,2023-09
2023-09-01,2,15.0,15,100.0,2023-09
2023-09-01,3,13.0,15,86.7,2023-09
2023-09-01,4,12.0,15,80.0,2023-09
2023-09-01,5,12.0,15,80.0,2023-09
2023-09-01,6,12.0,15,80.0,2023-09
2023-09-01,7,11.0,15,73.3,2023-09
2023-09-01,8,11.0,15,73.3,2023-09
2023-09-01,9,10.0,15,66.7,2023-09
2023-09-01,10,10.0,15,66.7,2023-09
2023-09-01,11,8.0,15,53.3,2023-09
2023-09-01,12,7.0,15,46.7,2023-09
2023-09-01,13,7.0,15,46.7,2023-09
2023-09-01,14,7.0,15,46.7,2023-09
2023-09-01,15,7.0,15,46.7,2023-09
2023-10-01,0,15.0,18,83.3,2023-10
2023-10-01,1,15.0,18,83.3,2023-10
2023-10-01,2,14.0,18,77.8,2023-10
2023-10-01,3,12.0,18,66.7,2023-10
2023-10-01,4,11.0,18,61.1,2023-10
2023-10-01,5,11.0,18,61.1,2023-10
2023-10-01,6,8.0,18,44.4,2023-10
2023-10-01,7,8.0,18,44.4,2023-10
2023-10-01,8,7.0,18,38.9,2023-10
2023-10-01,9,6.0,18,33.3,2023-10
2023-10-01,10,4.0,18,22.2,2023-10
2023-10-01,11,4.0,18,22.2,2023-10
2023-10-01,12,4.0,18,22.2,2023-10
2023-10-01,13,3.0,18,16.7,2023-10
2023-10-01,14,2.0,18,11.1,2023-10
2023-11-01,0,18.0,22,81.8,2023-11
2023-11-01,1,16.0,22,72.7,2023-11
2023-11-01,2,13.0,22,59.1,2023-11
2023-11-01,3,13.0,22,59.1,2023-11
2023-11-01,4,11.0,22,50.0,2023-11
2023-11-01,5,11.0,22,50.0,2023-11
2023-11-01,6,9.0,22,40.9,2023-11
2023-11-01,7,8.0,22,36.4,2023-11
2023-11-01,8,7.0,22,31.8,2023-11
2023-11-01,9,7.0,22,31.8,2023-11
2023-11-01,10,6.0,22,27.3,2023-11
2023-11-01,11,5.0,22,22.7,2023-11
2023-11-01,12,5.0,22,22.7,2023-11
2023-11-01,13,5.0,22,22.7,2023-11
2023-12-01,0,19.0,20,95.0,2023-12
2023-12-01,1,15.0,20,75.0,2023-12
2023-12-01,2,15.0,20,75.0,2023-12
2023-12-01,3,13.0,20,65.0,2023-12
2023-12-01,4,13.0,20,65.0,2023-12
2023-12-01,5,12.0,20,60.0,2023-12
2023-12-01,6,12.0,20,60.0,2023-12
2023-12-01,7,9.0,20,45.0,2023-12
2023-12-01,8,8.0,20,40.0,2023-12
2023-12-01,9,6.0,20,30.0,2023-12
2023-12-01,10,5.0,20,25.0,2023-12
2023-12-01,11,4.0,20,20.0,2023-12
2023-12-01,12,4.0,20,20.0,2023-12
2024-01-01,0,20.0,26,76.9,2024-01
2024-01-01,1,19.0,26,73.1,2024-01
2024-01-01,2,14.0,26,53.8,2024-01
2024-01-01,3,14.0,26,53.8,2024-01
2024-01-01,4,13.0,26,50.0,2024-01
2024-01-01,5,13.0,26,50.0,2024-01
2024-01-01,6,12.0,26,46.2,2024-01
2024-01-01,7,11.0,26,42.3,2024-01
2024-01-01,8,11.0,26,42.3,2024-01
2024-01-01,9,9.0,26,34.6,2024-01
2024-01-01,10,8.0,26,30.8,2024-01
2024-01-01,11,8.0,26,30.8,2024-01
2024-02-01,0,14.0,18,77.8,2024-02
2024-02-01,1,13.0,18,72.2,2024-02
2024-02-01,2,11.0,18,61.1,2024-02
2024-02-01,3,9.0,18,50.0,2024-02
2024-02-01,4,7.0,18,38.9,2024-02
2024-02-01,5,6.0,18,33.3,2024-02
2024-02-01,6,6.0,18,33.3,2024-02
2024-02-01,7,6.0,18,33.3,2024-02
2024-02-01,8,6.0,18,33.3,2024-02
2024-02-01,9,6.0,18,33.3,2024-02
2024-02-01,10,6.0,18,33.3,2024-02
2024-03-01,0,23.0,25,92.0,2024-03
2024-03-01,1,21.0,25,84.0,2024-03
2024-03-01,2,21.0,25,84.0,2024-03
2024-03-01,3,18.0,25,72.0,2024-03
2024-03-01,4,16.0,25,64.0,2024-03
2024-03-01,5,12.0,25,48.0,2024-03
2024-03-01,6,12.0,25,48.0,2024-03
2024-03-01,7,9.0,25,36.0,2024-03
2024-03-01,8,9.0,25,36.0,2024-03
2024-03-01,9,8.0,25,32.0,2024-03
2024-04-01,0,16.0,22,72.7,2024-04
2024-04-01,1,9.0,22,40.9,2024-04
2024-04-01,2,8.0,22,36.4,2024-04
2024-04-01,3,6.0,22,27.3,2024-04
2024-04-01,4,4.0,22,18.2,2024-04
2024-04-01,5,3.0,22,13.6,2024-04
2024-04-01,6,3.0,22,13.6,2024-04
2024-04-01,7,3.0,22,13.6,2024-04
2024-04-01,8,2.0,22,9.1,2024-04
2024-05-01,0,20.0,28,71.4,2024-05
2024-05-01,1,16.0,28,57.1,2024-05
2024-05-01,2,13.0,28,46.4,2024-05
2024-05-01,3,12.0,28,42.9,2024-05
2024-05-01,4,10.0,28,35.7,2024-05
2024-05-01,5,10.0,28,35.7,2024-05
2024-05-01,6,8.0,28,28.6,2024-05
2024-05-01,7,8.0,28,28.6,2024-05
2024-06-01,0,22.0,27,81.5,2024-06
2024-06-01,1,18.0,27,66.7,2024-06
2024-06-01,2,15.0,27,55.6,2024-06
2024-06-01,3,13.0,27,48.1,2024-06
2024-06-01,4,11.0,27,40.7,2024-06
2024-06-01,5,10.0,27,37.0,2024-06
2024-06-01,6,9.0,27,33.3,2024-06
2024-07-01,0,24.0,28,85.7,2024-07
2024-07-01,1,22.0,28,78.6,2024-07
2024-07-01,2,18.0,28,64.3,2024-07
2024-07-01,3,14.0,28,50.0,2024-07
2024-07-01,4,10.0,28,35.7,2024-07
2024-07-01,5,10.0,28,35.7,2024-07
2024-08-01,0,13.0,20,65.0,2024-08
2024-08-01,1,11.0,20,55.0,2024-08
2024-08-01,2,7.0,20,35.0,2024-08
2024-08-01,3,6.0,20,30.0,2024-08
2024-08-01,4,5.0,20,25.0,2024-08
2024-09-01,0,23.0,31,74.2,2024-09
2024-09-01,1,13.0,31,41.9,2024-09
2024-09-01,2,11.0,31,35.5,2024-09
2024-09-01,3,9.0,31,29.0,2024-09
2024-10-01,0,19.0,23,82.6,2024-10
2024-10-01,1,12.0,23,52.2,2024-10
2024-10-01,2,8.0,23,34.8,2024-10
2024-11-01,0,24.0,36,66.7,2024-11
2024-11-01,1,13.0,36,36.1,2024-11
2024-12-01,0,6.0,25,24.0,2024-12
